minority_ratio,separation,seed,ari
0.01,0.5,42,-1.7498710136472403e-05
0.01,0.5,43,-5.434780241001651e-05
0.01,0.5,44,3.511022616142439e-05
0.01,0.5,45,-4.360457135842723e-06
0.01,0.5,46,-0.00014937433773418035
0.01,0.5,47,7.906141426604772e-05
0.01,0.5,48,-4.681462626764351e-05
0.01,0.5,49,-2.9079851941745415e-05
0.01,0.5,50,0.00018477403819166927
0.01,0.5,51,-4.787303297028898e-05
0.01,0.5,52,6.340737108553453e-05
0.01,0.5,53,8.231683653616391e-05
0.01,0.5,54,-0.0001859088650060958
0.01,0.5,55,-0.00014289196939155832
0.01,0.5,56,0.0001287651312170104
0.01,0.5,57,0.00023648475887361585
0.01,0.5,58,-0.0003849076831600647
0.01,0.5,59,-0.0001980900093103691
0.01,0.5,60,-3.820647819153503e-05
0.01,0.5,61,2.4624373649285212e-05
0.01,0.5,62,0.00036172442582132786
0.01,0.5,63,0.0002023505526049786
0.01,0.5,64,-3.7198087495138954e-05
0.01,0.5,65,-0.00010092330675984365
0.01,0.5,66,0.00023094522891538259
0.01,1.0,42,-5.5420833002674835e-05
0.01,1.0,43,-6.506600918715408e-05
0.01,1.0,44,0.00027974152469235496
0.01,1.0,45,-3.942523264203911e-06
0.01,1.0,46,-0.00032362762076409843
0.01,1.0,47,0.00035753493631640506
0.01,1.0,48,-0.0003340142416222825
0.01,1.0,49,-0.00018017288043143916
0.01,1.0,50,0.0004670882879259498
0.01,1.0,51,-6.83640230737933e-05
0.01,1.0,52,0.00012702779207463092
0.01,1.0,53,0.0002523794884152106
0.01,1.0,54,-0.00029116065511753113
0.01,1.0,55,-0.0003811442315214718
0.01,1.0,56,0.0006074943193569146
0.01,1.0,57,0.000492325759514139
0.01,1.0,58,0.00010130439653782737
0.01,1.0,59,-0.000138909970220117
0.01,1.0,60,-0.00016625622554546557
0.01,1.0,61,8.453883832616318e-06
0.01,1.0,62,0.0003495265973652488
0.01,1.0,63,0.0004522798434922227
0.01,1.0,64,7.040534500199197e-05
0.01,1.0,65,-3.187773529351002e-05
0.01,1.0,66,0.00022982465690329272
0.01,2.0,42,0.0005662097363345543
0.01,2.0,43,-7.347832402569637e-05
0.01,2.0,44,0.0002710023157974398
0.01,2.0,45,-8.175424833625576e-06
0.01,2.0,46,-0.00041936097907103255
0.01,2.0,47,0.0010220291208443283
0.01,2.0,48,0.00013907571340780484
0.01,2.0,49,-2.517528638958432e-05
0.01,2.0,50,0.001022337816649809
0.01,2.0,51,0.0006305569942880799
0.01,2.0,52,0.00018000567362174758
0.01,2.0,53,0.0004954204605736964
0.01,2.0,54,-0.00035063104941487655
0.01,2.0,55,0.0005730860051639261
0.01,2.0,56,0.0011961471985301893
0.01,2.0,57,0.00023108889260609506
0.01,2.0,58,0.00012009324349287638
0.01,2.0,59,8.33943343063754e-05
0.01,2.0,60,0.00039505863817354314
0.01,2.0,61,0.00021837076367809522
