n_min,n_maj,minority_ratio,D2,BCSS_isolate,BCSS_majority_split,predicted_ratio_threshold,criterion_predicts_isolated,observed_ARI,observed_isolated,prediction_correct,target_ratio,seed
40,3960,0.01,88.6156,3509.18,116052.63,0.33071,False,0.0589,False,True,0.01,42
40,3960,0.01,15.5715,616.63,120645.49,1.95653,False,0.0277,False,True,0.01,43
40,3960,0.01,21.4864,850.86,120518.75,1.41643,False,0.0329,False,True,0.01,44
40,3960,0.01,29.0251,1149.4,119830.83,1.04256,False,0.035,False,True,0.01,45
40,3960,0.01,20.8784,826.78,120688.32,1.45973,False,0.0277,False,True,0.01,46
80,3920,0.02,33.7898,2649.12,120337.62,0.90851,False,0.0592,False,True,0.02,42
80,3920,0.02,44.3972,3480.74,115997.09,0.66651,False,0.084,False,True,0.02,43
80,3920,0.02,26.5195,2079.13,116541.11,1.12106,False,0.0593,False,True,0.02,44
80,3920,0.02,29.4532,2309.13,119146.4,1.03196,False,0.0665,False,True,0.02,45
80,3920,0.02,27.6947,2171.26,116020.93,1.0687,False,0.0694,False,True,0.02,46
120,3880,0.03,16.6341,1936.21,114509.98,1.77424,False,0.059,False,True,0.03,42
120,3880,0.03,25.5892,2978.59,117011.8,1.17853,False,0.07,False,True,0.03,43
120,3880,0.03,44.991,5236.96,111679.71,0.63976,False,0.1011,False,True,0.03,44
120,3880,0.03,38.0399,4427.84,113466.88,0.76877,False,0.099,False,True,0.03,45
120,3880,0.03,68.4629,7969.08,116060.36,0.43691,False,0.1273,False,True,0.03,46
200,3800,0.05,33.3946,6344.98,105704.44,0.83298,False,0.1423,False,True,0.05,42
200,3800,0.05,24.5739,4669.05,104148.58,1.11531,False,0.1122,False,True,0.05,43
200,3800,0.05,35.5031,6745.58,116343.51,0.86237,False,0.14,False,True,0.05,44
200,3800,0.05,41.4564,7876.72,104069.08,0.66061,False,0.1565,False,True,0.05,45
200,3800,0.05,37.8778,7196.79,107143.52,0.74438,False,0.1342,False,True,0.05,46
320,3680,0.08,46.5395,13701.24,110706.09,0.6464,False,0.2137,False,True,0.08,42
320,3680,0.08,31.9245,9398.57,108384.43,0.92256,False,0.1709,False,True,0.08,43
320,3680,0.08,28.401,8361.27,108733.85,1.04036,False,0.1458,False,True,0.08,44
320,3680,0.08,39.2508,11555.43,102699.65,0.71101,False,0.1858,False,True,0.08,45
320,3680,0.08,34.5798,10180.3,94682.37,0.74404,False,0.1604,False,True,0.08,46
400,3600,0.1,28.4795,10252.62,93786.08,0.91475,False,0.1867,False,True,0.1,42
400,3600,0.1,33.3292,11998.52,111812.2,0.93188,False,0.1959,False,True,0.1,43
400,3600,0.1,29.0964,10474.7,99352.5,0.9485,False,0.1817,False,True,0.1,44
400,3600,0.1,34.3896,12380.25,108313.51,0.87489,False,0.2097,False,True,0.1,45
400,3600,0.1,29.7305,10702.99,103540.02,0.96739,False,0.1783,False,True,0.1,46
480,3520,0.12,20.6261,8712.46,95506.51,1.31545,False,0.1577,False,True,0.12,42
480,3520,0.12,23.3602,9867.36,110512.37,1.34397,False,0.1717,False,True,0.12,43
480,3520,0.12,28.3676,11982.49,115600.46,1.15769,False,0.1829,False,True,0.12,44
480,3520,0.12,30.0197,12680.32,104448.13,0.98844,False,0.2009,False,True,0.12,45
480,3520,0.12,28.1602,11894.89,108590.5,1.0955,False,0.1931,False,True,0.12,46
600,3400,0.15,22.2118,11328.03,94370.82,1.24961,False,0.1789,False,True,0.15,42
600,3400,0.15,22.3182,11382.3,110031.36,1.45003,False,0.1778,False,True,0.15,43
600,3400,0.15,27.9412,14250.01,113273.87,1.19236,False,0.1955,False,True,0.15,44
600,3400,0.15,28.2637,14414.46,104105.78,1.08335,False,0.21,False,True,0.15,45
600,3400,0.15,25.6461,13079.53,108251.41,1.24146,False,0.196,False,True,0.15,46
800,3200,0.2,22.1215,14157.76,94789.31,1.33904,False,0.1891,False,True,0.2,42
800,3200,0.2,21.7137,13896.8,109309.93,1.57317,False,0.1865,False,True,0.2,43
800,3200,0.2,24.138,15448.29,108324.99,1.40242,False,0.1873,False,True,0.2,44
800,3200,0.2,26.5012,16960.79,102619.5,1.21008,False,0.2122,False,True,0.2,45
800,3200,0.2,25.9938,16636.01,107355.26,1.29064,False,0.2084,False,True,0.2,46
1000,3000,0.25,21.4221,16066.55,96693.44,1.50458,False,0.1817,False,True,0.25,42
1000,3000,0.25,20.8585,15643.89,107133.93,1.71207,False,0.1766,False,True,0.25,43
1000,3000,0.25,21.9182,16438.64,106887.35,1.62555,False,0.1758,False,True,0.25,44
1000,3000,0.25,25.9422,19456.66,99870.17,1.28324,False,0.2136,False,True,0.25,45
1000,3000,0.25,23.6094,17707.04,99022.87,1.39807,False,0.195,False,True,0.25,46
1200,2800,0.3,19.8364,16662.56,89425.61,1.61006,False,0.1645,False,True,0.3,42
1200,2800,0.3,20.0699,16858.68,106823.4,1.90092,False,0.162,False,True,0.3,43
1200,2800,0.3,21.0391,17672.88,105778.54,1.79561,False,0.1619,False,True,0.3,44
1200,2800,0.3,24.3617,20463.79,103780.27,1.52142,False,0.1934,False,True,0.3,45
1200,2800,0.3,21.0618,17691.92,98972.62,1.67827,False,0.1747,False,True,0.3,46
