minority_ratio,n_total,n_seeds,ari_mean,ari_std,nmi_mean,nmi_std
0.01,4000,5,0.03641036757692233,0.011584814768163485,0.01117023485739375,0.006579935166045775
0.02,4000,5,0.06769733648722338,0.009098714165968589,0.019648543895557893,0.004128544362707826
0.03,4000,5,0.09128288504275417,0.02429059582012506,0.027495271298077745,0.012478375354820995
0.05,4000,5,0.13704165521765624,0.014427592018376796,0.04203713739466475,0.0073448132039178795
0.08,4000,5,0.17533625025399913,0.02323006710771884,0.05606086574890477,0.011964380490743989
0.1,4000,5,0.1904295153332152,0.011293517309691666,0.06080013357154751,0.006292643086742546
0.12,4000,5,0.18127383121702018,0.015314616845810935,0.05623301410843229,0.008018891498887487
0.15,4000,5,0.19164078930103617,0.012059666993960296,0.0634795279587334,0.006720923260679716
0.2,4000,5,0.1967054316689945,0.011217626984289814,0.0733722050316094,0.00686402213521139
0.25,4000,5,0.18854088964700855,0.01428147818072827,0.07959586836353703,0.009640850317714604
0.3,4000,5,0.17129316845222808,0.01200794791544133,0.08249666450054206,0.008958004267381907
